county,city_town,specialist,capacity_adequacy,distance_adequacy,total_adequacy,status,ZIP_Code
Tarrant,Euless,Dermatology,74,20,47,PARTIALLY ADEQUATE,76022
Tarrant,Euless,Gynecology,17,86,52,PARTIALLY ADEQUATE,76132
Tarrant,Euless,Neurology,25,12,18,INADEQUATE,78705
Tarrant,Euless,Ophthalmology,23,42,32,INADEQUATE,75231
Tarrant,Euless,Orthopedic Surgery,85,15,50,PARTIALLY ADEQUATE,76180
Collin,Richardson,Anesthesiology,96,59,78,ADEQUATE,77069
Collin,Richardson,Cardiology,24,19,22,INADEQUATE,75235
Collin,Richardson,Dermatology,75,14,44,INADEQUATE,75013
Collin,Richardson,Gynecology,41,32,36,INADEQUATE,78229
Collin,Richardson,Neurology,96,19,58,PARTIALLY ADEQUATE,75024
Collin,Richardson,Ophthalmology,72,53,62,ADEQUATE,75093
Collin,Richardson,Orthopedic Surgery,95,11,53,PARTIALLY ADEQUATE,75074
Bexar,Boerne,Anesthesiology,60,22,41,INADEQUATE,75246
Bexar,Boerne,Cardiology,34,49,42,INADEQUATE,75075
Bexar,Boerne,Dermatology,67,11,39,INADEQUATE,78212
Bexar,Boerne,Gynecology,72,93,82,ADEQUATE,77030
Bexar,Boerne,Neurology,71,74,72,ADEQUATE,78234
Bexar,Boerne,Ophthalmology,31,72,52,PARTIALLY ADEQUATE,78233
Bexar,Boerne,Orthopedic Surgery,67,82,74,ADEQUATE,77401
Tarrant,Colleyville,Anesthesiology,67,26,46,PARTIALLY ADEQUATE,75070
Tarrant,Colleyville,Cardiology,95,18,56,PARTIALLY ADEQUATE,75093
Tarrant,Colleyville,Dermatology,58,84,71,ADEQUATE,76107
Tarrant,Colleyville,Gynecology,61,24,42,INADEQUATE,76104
Tarrant,Colleyville,Neurology,51,33,42,INADEQUATE,76126
Tarrant,Colleyville,Ophthalmology,79,47,63,ADEQUATE,76051
Tarrant,Colleyville,Orthopedic Surgery,24,44,34,INADEQUATE,77401
Dallas,Lancaster,Anesthesiology,63,58,60,ADEQUATE,77401
Dallas,Lancaster,Cardiology,69,78,74,ADEQUATE,75150
Dallas,Lancaster,Dermatology,17,71,44,INADEQUATE,75150
Dallas,Lancaster,Gynecology,62,69,66,ADEQUATE,78735
Dallas,Lancaster,Neurology,69,59,64,ADEQUATE,75208
Dallas,Lancaster,Ophthalmology,14,87,50,PARTIALLY ADEQUATE,75042
Dallas,Lancaster,Orthopedic Surgery,77,84,80,ADEQUATE,76109
Dallas,Farmers Branch,Anesthesiology,15,18,16,INADEQUATE,77069
Dallas,Farmers Branch,Cardiology,56,43,50,PARTIALLY ADEQUATE,75182
Dallas,Farmers Branch,Dermatology,64,85,74,ADEQUATE,75150
Dallas,Farmers Branch,Gynecology,49,44,46,PARTIALLY ADEQUATE,75042
Dallas,Farmers Branch,Neurology,61,10,36,INADEQUATE,75062
Dallas,Farmers Branch,Ophthalmology,25,49,37,INADEQUATE,75150
Dallas,Farmers Branch,Orthopedic Surgery,22,73,48,PARTIALLY ADEQUATE,75150
Harris,Pasadena,Anesthesiology,39,31,35,INADEQUATE,77379
Harris,Pasadena,Cardiology,28,69,48,PARTIALLY ADEQUATE,77338
Harris,Pasadena,Dermatology,26,73,50,PARTIALLY ADEQUATE,76063
Harris,Pasadena,Gynecology,72,81,76,ADEQUATE,77521
Harris,Pasadena,Neurology,28,20,24,INADEQUATE,77339
Harris,Pasadena,Ophthalmology,67,23,45,PARTIALLY ADEQUATE,77450
Harris,Pasadena,Orthopedic Surgery,64,69,66,ADEQUATE,77030
Collin,Fairview,Anesthesiology,99,39,69,ADEQUATE,75024
Collin,Fairview,Cardiology,99,44,72,ADEQUATE,77004
Collin,Fairview,Dermatology,71,94,82,ADEQUATE,75025
Collin,Fairview,Gynecology,32,46,39,INADEQUATE,76063
Collin,Fairview,Neurology,18,14,16,INADEQUATE,76104
Collin,Fairview,Ophthalmology,21,92,56,PARTIALLY ADEQUATE,75231
Collin,Fairview,Orthopedic Surgery,10,87,48,PARTIALLY ADEQUATE,77025
Harris,Deer Park,Anesthesiology,67,35,51,PARTIALLY ADEQUATE,77450
Harris,Deer Park,Cardiology,10,71,40,INADEQUATE,77338
Harris,Deer Park,Dermatology,43,13,28,INADEQUATE,77030
Harris,Deer Park,Gynecology,57,98,78,ADEQUATE,77433
Harris,Deer Park,Neurology,98,51,74,ADEQUATE,77389
Harris,Deer Park,Ophthalmology,10,98,54,PARTIALLY ADEQUATE,77521
Harris,Deer Park,Orthopedic Surgery,25,27,26,INADEQUATE,77401
Tarrant,Benbrook,Anesthesiology,70,49,60,ADEQUATE,76248
Tarrant,Benbrook,Cardiology,73,81,77,ADEQUATE,75246
Tarrant,Benbrook,Dermatology,72,48,60,ADEQUATE,78758
Tarrant,Benbrook,Gynecology,78,23,50,PARTIALLY ADEQUATE,76018
Tarrant,Benbrook,Neurology,31,41,36,INADEQUATE,77401
Tarrant,Benbrook,Ophthalmology,76,60,68,ADEQUATE,76022
Tarrant,Benbrook,Orthopedic Surgery,85,47,66,ADEQUATE,76022
Bexar,Shavano Park,Anesthesiology,35,32,34,INADEQUATE,77069
Bexar,Shavano Park,Cardiology,25,72,48,PARTIALLY ADEQUATE,78023
Bexar,Shavano Park,Dermatology,60,24,42,INADEQUATE,78254
Bexar,Shavano Park,Gynecology,95,34,64,ADEQUATE,77521
Bexar,Shavano Park,Neurology,66,26,46,PARTIALLY ADEQUATE,77030
Bexar,Shavano Park,Ophthalmology,38,75,56,PARTIALLY ADEQUATE,77339
Bexar,Shavano Park,Orthopedic Surgery,87,87,87,ADEQUATE,76014
Bexar,Jbsa Fsh,Anesthesiology,78,62,70,ADEQUATE,77069
Bexar,Jbsa Fsh,Cardiology,56,60,58,PARTIALLY ADEQUATE,78660
Bexar,Jbsa Fsh,Dermatology,71,48,60,ADEQUATE,78023
Bexar,Jbsa Fsh,Gynecology,78,60,69,ADEQUATE,76063
Bexar,Jbsa Fsh,Neurology,85,79,82,ADEQUATE,78705
Bexar,Jbsa Fsh,Ophthalmology,25,15,20,INADEQUATE,78218
Bexar,Jbsa Fsh,Orthopedic Surgery,99,76,88,ADEQUATE,78229
Tarrant,North Richland Hills,Anesthesiology,99,16,58,PARTIALLY ADEQUATE,76177
Tarrant,North Richland Hills,Cardiology,57,60,58,PARTIALLY ADEQUATE,76104
Tarrant,North Richland Hills,Dermatology,94,81,88,ADEQUATE,76034
Tarrant,North Richland Hills,Gynecology,48,51,50,PARTIALLY ADEQUATE,75246
Tarrant,North Richland Hills,Neurology,42,73,58,PARTIALLY ADEQUATE,77401
Tarrant,North Richland Hills,Ophthalmology,32,24,28,INADEQUATE,76053
Tarrant,North Richland Hills,Orthopedic Surgery,19,38,28,INADEQUATE,77025
Tarrant,N Richland Hills,Anesthesiology,78,42,60,ADEQUATE,76104
Tarrant,N Richland Hills,Cardiology,43,36,40,INADEQUATE,76092
Tarrant,N Richland Hills,Dermatology,61,45,53,PARTIALLY ADEQUATE,76034
Tarrant,N Richland Hills,Gynecology,19,38,28,INADEQUATE,76022
Tarrant,N Richland Hills,Neurology,28,47,38,INADEQUATE,76107
Tarrant,N Richland Hills,Ophthalmology,67,66,66,ADEQUATE,78215
Tarrant,N Richland Hills,Orthopedic Surgery,10,36,23,INADEQUATE,77041
Harris,Bellaire,Anesthesiology,78,64,71,ADEQUATE,77042
Harris,Bellaire,Cardiology,13,42,28,INADEQUATE,77401
Harris,Bellaire,Dermatology,25,77,51,PARTIALLY ADEQUATE,77339
Harris,Bellaire,Gynecology,33,95,64,ADEQUATE,77074
Harris,Bellaire,Neurology,89,75,82,ADEQUATE,77389
Harris,Bellaire,Ophthalmology,11,19,15,INADEQUATE,77055
Harris,Bellaire,Orthopedic Surgery,41,14,28,INADEQUATE,77598
Collin,Anna,Anesthesiology,100,83,92,ADEQUATE,75093
Collin,Anna,Cardiology,93,47,70,ADEQUATE,78660
Collin,Anna,Dermatology,33,22,28,INADEQUATE,75094
Collin,Anna,Gynecology,21,40,30,INADEQUATE,75082
Collin,Anna,Neurology,59,56,58,PARTIALLY ADEQUATE,77030
Collin,Anna,Ophthalmology,44,97,70,ADEQUATE,75069
Collin,Anna,Orthopedic Surgery,42,61,52,PARTIALLY ADEQUATE,75013
Travis,Spicewood,Anesthesiology,42,65,54,PARTIALLY ADEQUATE,78705
Travis,Spicewood,Cardiology,70,24,47,PARTIALLY ADEQUATE,78731
Travis,Spicewood,Dermatology,60,38,49,PARTIALLY ADEQUATE,75034
Travis,Spicewood,Gynecology,52,17,34,INADEQUATE,77521
Travis,Spicewood,Neurology,21,14,18,INADEQUATE,78660
Travis,Spicewood,Ophthalmology,76,38,57,PARTIALLY ADEQUATE,78738
Travis,Spicewood,Orthopedic Surgery,74,56,65,ADEQUATE,76014
Travis,Ausitin,Anesthesiology,42,77,60,ADEQUATE,78705
Travis,Ausitin,Cardiology,49,85,67,ADEQUATE,78229
Travis,Ausitin,Dermatology,83,54,68,ADEQUATE,78705
Travis,Ausitin,Gynecology,52,11,32,INADEQUATE,78738
Travis,Ausitin,Neurology,53,36,44,INADEQUATE,78759
Travis,Ausitin,Ophthalmology,38,45,42,INADEQUATE,77030
Travis,Ausitin,Orthopedic Surgery,22,45,34,INADEQUATE,75034
Collin,Wylie,Anesthesiology,21,35,28,INADEQUATE,75246
Collin,Wylie,Cardiology,55,52,54,PARTIALLY ADEQUATE,76022
Collin,Wylie,Dermatology,11,36,24,INADEQUATE,77008
Collin,Wylie,Gynecology,44,78,61,ADEQUATE,78229
Collin,Wylie,Neurology,96,29,62,ADEQUATE,75093
Collin,Wylie,Ophthalmology,90,20,55,PARTIALLY ADEQUATE,78218
Collin,Wylie,Orthopedic Surgery,99,83,91,ADEQUATE,75093
Tarrant,Saginaw,Anesthesiology,17,47,32,INADEQUATE,78212
Tarrant,Saginaw,Cardiology,35,15,25,INADEQUATE,75078
Tarrant,Saginaw,Dermatology,83,81,82,ADEQUATE,76092
Tarrant,Saginaw,Gynecology,99,32,66,ADEQUATE,78735
Tarrant,Saginaw,Neurology,43,56,50,PARTIALLY ADEQUATE,77030
Tarrant,Saginaw,Ophthalmology,16,99,58,PARTIALLY ADEQUATE,76132
Tarrant,Saginaw,Orthopedic Surgery,77,55,66,ADEQUATE,76034
Tarrant,Haltom City,Anesthesiology,67,21,44,INADEQUATE,76034
Tarrant,Haltom City,Cardiology,84,99,92,ADEQUATE,76022
Tarrant,Haltom City,Dermatology,38,22,30,INADEQUATE,76132
Tarrant,Haltom City,Gynecology,45,71,58,PARTIALLY ADEQUATE,76116
Tarrant,Haltom City,Neurology,98,91,94,ADEQUATE,76039
Tarrant,Haltom City,Ophthalmology,30,98,64,ADEQUATE,75231
Tarrant,Haltom City,Orthopedic Surgery,45,69,57,PARTIALLY ADEQUATE,76053
Tarrant,Duncanville,Anesthesiology,19,52,36,INADEQUATE,76104
Tarrant,Duncanville,Cardiology,82,85,84,ADEQUATE,76012
Tarrant,Duncanville,Dermatology,33,77,55,PARTIALLY ADEQUATE,76131
Tarrant,Duncanville,Gynecology,73,14,44,INADEQUATE,76132
Tarrant,Duncanville,Neurology,58,46,52,PARTIALLY ADEQUATE,77401
Tarrant,Duncanville,Ophthalmology,45,81,63,ADEQUATE,76092
Tarrant,Duncanville,Orthopedic Surgery,91,40,66,ADEQUATE,77025
Travis,Lago Vista,Anesthesiology,33,18,26,INADEQUATE,77026
Travis,Lago Vista,Cardiology,32,60,46,PARTIALLY ADEQUATE,78756
Travis,Lago Vista,Dermatology,71,38,54,PARTIALLY ADEQUATE,77002
Travis,Lago Vista,Gynecology,46,87,66,ADEQUATE,78704
Travis,Lago Vista,Neurology,21,49,35,INADEQUATE,77401
Travis,Lago Vista,Ophthalmology,64,50,57,PARTIALLY ADEQUATE,78746
Travis,Lago Vista,Orthopedic Surgery,22,95,58,PARTIALLY ADEQUATE,75078
Dallas,Rowlett,Anesthesiology,32,20,26,INADEQUATE,75088
Dallas,Rowlett,Cardiology,98,32,65,ADEQUATE,75208
Dallas,Rowlett,Dermatology,39,10,24,INADEQUATE,75006
Dallas,Rowlett,Gynecology,26,55,40,INADEQUATE,77521
Dallas,Rowlett,Neurology,71,30,50,PARTIALLY ADEQUATE,75088
Dallas,Rowlett,Ophthalmology,93,99,96,ADEQUATE,75042
Dallas,Rowlett,Orthopedic Surgery,98,45,72,ADEQUATE,75235
Harris,Hiouston,Anesthesiology,95,63,79,ADEQUATE,77521
Harris,Hiouston,Cardiology,22,96,59,PARTIALLY ADEQUATE,77379
Harris,Hiouston,Dermatology,68,66,67,ADEQUATE,77530
Harris,Hiouston,Gynecology,28,10,19,INADEQUATE,77379
Harris,Hiouston,Neurology,58,72,65,ADEQUATE,77433
Harris,Hiouston,Ophthalmology,21,63,42,INADEQUATE,77063
Harris,Hiouston,Orthopedic Surgery,70,64,67,ADEQUATE,77339
Tarrant,Richland Hills,Anesthesiology,28,49,38,INADEQUATE,76248
Tarrant,Richland Hills,Cardiology,85,24,54,PARTIALLY ADEQUATE,77598
Tarrant,Richland Hills,Dermatology,18,30,24,INADEQUATE,77008
Tarrant,Richland Hills,Gynecology,80,56,68,ADEQUATE,76051
Tarrant,Richland Hills,Neurology,37,82,60,ADEQUATE,78705
Tarrant,Richland Hills,Ophthalmology,87,62,74,ADEQUATE,76054
Tarrant,Richland Hills,Orthopedic Surgery,61,18,40,INADEQUATE,76177
Bexar,Converse,Anesthesiology,92,83,88,ADEQUATE,75218
Bexar,Converse,Cardiology,25,61,43,INADEQUATE,76022
Bexar,Converse,Dermatology,78,66,72,ADEQUATE,78730
Bexar,Converse,Gynecology,21,35,28,INADEQUATE,75246
Bexar,Converse,Neurology,34,50,42,INADEQUATE,78248
Bexar,Converse,Ophthalmology,61,44,52,PARTIALLY ADEQUATE,75251
Bexar,Converse,Orthopedic Surgery,94,72,83,ADEQUATE,78258
Harris,The Woodlands,Anesthesiology,62,34,48,PARTIALLY ADEQUATE,75246
Harris,The Woodlands,Cardiology,32,99,66,ADEQUATE,77375
Harris,The Woodlands,Dermatology,25,84,54,PARTIALLY ADEQUATE,77008
Harris,The Woodlands,Gynecology,66,47,56,PARTIALLY ADEQUATE,75231
Harris,The Woodlands,Neurology,48,11,30,INADEQUATE,77532
Harris,The Woodlands,Ophthalmology,62,16,39,INADEQUATE,77449
Harris,The Woodlands,Orthopedic Surgery,51,91,71,ADEQUATE,77521
Tarrant,Azle,Anesthesiology,67,100,84,ADEQUATE,76114
Tarrant,Azle,Cardiology,48,43,46,PARTIALLY ADEQUATE,76132
Tarrant,Azle,Dermatology,23,100,62,ADEQUATE,76054
Tarrant,Azle,Gynecology,14,26,20,INADEQUATE,78229
Tarrant,Azle,Neurology,44,52,48,PARTIALLY ADEQUATE,76022
Tarrant,Azle,Ophthalmology,96,68,82,ADEQUATE,76053
Tarrant,Azle,Orthopedic Surgery,84,60,72,ADEQUATE,76177
